chunk_id,row,col,snr,floor_frac,s2_floor,s2_plateau,flux_mad_std,a1,a2,a3,a1_ratio,alpha,beta,var_inf,chi2_dof,fit_success
80,3200,1200,3.39415,0.0798705,0.103025,1.2899,0.90622,0.46630104231243236,0.09254619433278566,0.05768056710977293,0.7285953786131756,0.5969103820566886,1.710054275358675,1.2831538036064931,0.22091867226253376,True
81,3200,1600,3.44151,0.0778576,0.100717,1.2936,0.530358,4.600863901135367,0.5506261792644878,0.23276065275688007,7.18884984552401,0.44722057019164235,5.60211154007272,1.5078997951402602,0.4301783119635252,True
62,2400,4800,3.47043,0.0766643,0.0624391,0.814448,0.681998,0.28057347825405926,0.05564555110747748,0.04770067254597912,0.4383960597719676,0.5657555072358516,1.0,0.8320183962542443,0.656710162366697,True
87,3200,4000,3.48566,0.0760467,0.0836179,1.09956,0.804744,1.1435766692840301,0.2826102100099834,0.13930758965243067,1.786838545756297,0.4426510496325428,9.99999999999966,1.1117108058529193,0.5066147022969328,True
46,2000,4000,3.61106,0.0712264,0.0685586,0.962545,0.585221,2.6725228038257027,1.977274728170253,0.468690692989641,4.175816880977661,0.36693621576849444,1.0000000000000078,1.6213844326137392,0.7767341650274013,True
76,2800,4800,3.66786,0.0691887,0.0871086,1.259,0.870763,1.1388060955176809,0.3817132338359982,0.12265208726323011,1.7793845242463764,0.4481819122313286,9.999999999973268,1.3229827269286418,0.37203041068952863,True
86,3200,3600,3.71466,0.0675735,0.0758371,1.12229,0.910955,7.403727794223131,3.2904305380115355,0.7902511175187645,11.568324678473642,0.49590030571397437,9.999999999999998,2.4284758926973646,0.4924547245376974,True
42,2000,2400,4.02545,0.0581251,0.0854781,1.47059,1.0759,4.735645841413398,2.7787232333298246,0.7657635642768298,7.399446627208435,0.41106367437120983,9.999999999999998,3.8756886806479325,0.4375497201294754,True
60,2400,4000,4.05736,0.0572667,0.0439227,0.766985,0.638776,0.20375578125403804,0.0356112672607917,0.030001943674006937,0.3183684082094344,0.8008003093546573,1.0,0.8069475916746488,0.5775088295465672,True
65,2800,400,4.05766,0.0572587,0.0659708,1.15215,0.788317,0.50487876179324,0.11619430993449241,0.04444647257705577,0.7888730653019375,0.677723088195419,3.2442086451686207,1.245836004235129,0.9007331909775589,True
73,2800,3600,4.09829,0.0561924,0.0481585,0.857028,0.690046,0.3291308649228299,0.055378013029712445,0.0514028704449719,0.5142669764419217,0.7360670404643039,1.2834054193809759,0.8572042308061931,0.256825291953051,True
29,1600,2400,4.19895,0.0536736,0.088205,1.64336,0.964876,0.8455135112651189,0.327031436446382,0.1367012604599562,1.3211148613517483,0.5353907783481054,1.272795469153821,1.914486179727093,0.16648909438012857,True
79,3200,800,4.33559,0.0505119,0.0827069,1.63737,1.16036,19.260478784912547,1.6373998712737905,0.957370916024012,30.094498101425852,0.49117087402994564,9.999999999999998,3.656982568483425,0.8391980628138075,True
56,2400,2400,4.51207,0.0468192,0.0732828,1.56523,1.09012,8.257077147194002,1.8465662734375612,0.9443140662323631,12.901683042490628,0.4358145997566389,9.999999999999998,3.461860114493912,0.46857875725910825,True
59,2400,3600,4.5426,0.046221,0.032446,0.701974,0.612153,0.23541609756910317,0.061222771268216035,0.03654118355192828,0.3678376524517237,0.7137992002398041,1.0,0.7041085800055505,0.6197052934698499,True
72,2800,3200,4.5613,0.0458601,0.0545432,1.18934,0.761667,0.4935108691969238,0.09404612494432706,0.033954079075811404,0.7711107331201934,0.6978092163657139,1.0000000000000357,1.217505466657509,0.27721276849513055,True
61,2400,4400,4.62391,0.0446816,0.0467912,1.04721,0.774068,0.8256441133576565,0.13311839136952,0.06873652696626667,1.2900689271213384,0.5952061397888906,4.211794998346927,1.150959695440577,0.9821205757847854,True
57,2400,2800,4.66889,0.0438625,0.0362277,0.825937,0.648229,0.2086855820978707,0.06261366307116158,0.04412524488399479,0.32607122202792294,0.7200191369356472,1.0,0.8761144819101148,0.6086561315208211,True
84,3200,2800,4.68058,0.0436532,0.0918693,2.10453,0.573207,3.4882840620290785,2.046919333026416,0.2355839047223915,5.450443846920435,0.626973086134003,7.372894216824752,2.696519964058167,0.35198822010100994,True
45,2000,3600,4.7212,0.0429373,0.0601817,1.40162,0.819786,4.604210300539751,1.6938394799275691,0.40126152355478417,7.194078594593361,0.4691658138349686,9.999999999999998,2.094329084431733,0.8429884888837466,True
52,2400,800,4.76024,0.0422657,0.0820552,1.94141,1.29451,5.442383604131825,2.1078568654893224,0.6004059760254823,8.503724381455976,0.5970055362631381,9.999999999999998,3.999999617158173,0.9211069351129801,True
43,2000,2800,4.81564,0.0413388,0.0473219,1.14473,0.825836,0.2134233570677314,0.05309716817686237,0.038253309856869755,0.33347399541833034,0.840065108707528,3.096021670626117,1.1474204950296099,0.33235701699284353,True
44,2000,3200,4.98423,0.0386959,0.0542982,1.4032,0.969921,7.089207576441564,2.2620360839155254,0.92833008027113,11.076886838189944,0.48641171860875,9.999999999999998,3.057926440746498,0.7049728205348275,True
54,2400,1600,5.06145,0.0375681,0.072913,1.94082,1.28605,1.7080699317357908,0.7300536942558,0.13985260704847152,2.6688592683371732,0.5876901770003518,1.622066458349181,2.3201291184249917,0.27860244459938105,True
53,2400,1200,5.15417,0.0362772,0.0773156,2.13124,1.31427,3.293459108395163,1.5065903194156602,0.4972003318385593,5.146029856867442,0.5811728603377906,9.999999999999998,3.9999999999964375,0.49559947852083625,True
55,2400,2000,5.18143,0.0359102,0.0686544,1.91183,1.12507,2.2627623496094875,0.7836718109430139,0.2813031306572347,3.5355661712648243,0.49834569940192536,9.999999999254666,2.4016571175002572,0.2706590658624344,True
58,2400,3200,5.19339,0.035751,0.0309991,0.867085,0.678909,0.30307319808393807,0.09503802557008048,0.04109673522377221,0.47355187200615323,0.8281334230010557,1.0000000000000233,0.9242813124026305,0.48372108831929644,True
82,3200,2000,5.24356,0.0350939,0.0843038,2.40223,0.574908,2.8022713704361117,1.4296868524813031,0.27045820164380874,4.378549016306424,0.7239019176745571,6.246499238990966,3.3615048113742865,0.6534056602346506,True
68,2800,1600,5.36335,0.0335959,0.0236976,0.705373,0.580685,3.8038323106547973,0.9219180393006099,0.464033624884808,5.943487985398121,0.42384586792789347,1.0000000000026212,1.1544672295863532,0.9227172524839315,True
66,2800,800,5.51708,0.0318084,0.0309809,0.973983,0.629673,0.36678525480891594,0.10510934116831863,0.04125896119149145,0.5731019606389312,0.8284058959370564,1.0000000000331575,1.0165362716635071,0.7822969887668485,True
67,2800,1200,5.54549,0.0314936,0.0334457,1.06198,0.648057,1.584410468036248,0.21414761068185656,0.0813781056417646,2.4756413563066375,0.6713687452895383,1.000000000000597,1.1671722332911094,0.8127856131808257,True
28,1600,2000,5.79905,0.0288775,0.0860574,2.98008,1.00564,4.1609657812394545,0.6130970354033356,0.21837701252249114,6.501509033186648,0.6917766631718998,9.999999999999998,3.578485211226656,0.3627445502475551,True
71,2800,2800,5.97031,0.0272892,0.0267442,0.980031,0.731778,1.3942758443044545,0.721014763804618,0.28307512727801554,2.17855600672571,0.5867711438714447,1.0,1.5837132832093892,0.4275244083407489,True
69,2800,2000,6.46064,0.0233974,0.0231286,0.988514,0.63297,0.5977719875916805,0.3075606403072422,0.1309553403394064,0.9340187306120007,0.5899057328534357,1.0,1.245855068607733,0.9554320972141597,True
83,3200,2400,6.55299,0.0227574,0.0810505,3.5615,0.704147,8.470172241146741,1.5128411924278369,0.22340019930847133,13.234644126791784,0.8019325014964263,9.999999999999998,3.999999999999999,1.0895303881351128,True
70,2800,2400,6.95587,0.0202494,0.0177731,0.877709,0.607278,0.6945634750538235,0.2034509109604181,0.13700330129873775,1.0852554297715993,0.6722562822849636,1.0,1.0615435381281577,0.4897265564649215,True
